City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rio Gallegos,-51.6226,-69.2181,30.25,93,100,13.8,AR,2022-07-12 19:47:27
1,Ushuaia,-54.8,-68.3,38.86,81,75,10.36,AR,2022-07-12 19:47:28
2,Isangel,-19.55,169.2667,66.31,100,50,0.0,VU,2022-07-12 19:47:28
3,Rikitea,-23.1203,-134.9692,74.86,73,12,15.17,PF,2022-07-12 19:47:28
4,New Norfolk,-42.7826,147.0587,44.1,83,90,2.48,AU,2022-07-12 19:47:28
5,Parnamirim,-5.9156,-35.2628,85.89,62,0,17.27,BR,2022-07-12 19:47:29
6,Port Alfred,-33.5906,26.891,58.66,70,0,10.16,ZA,2022-07-12 19:47:29
7,Srednekolymsk,67.45,153.6833,69.73,52,31,4.68,RU,2022-07-12 19:47:29
8,La Victoria,10.2184,-67.3302,70.3,93,100,2.26,VE,2022-07-12 19:47:30
9,Bluff,-46.6,168.3333,43.81,92,100,21.21,NZ,2022-07-12 19:47:30
10,Busselton,-33.65,115.3333,55.83,84,22,6.76,AU,2022-07-12 19:47:30
11,Hermanus,-34.4187,19.2345,54.59,82,0,10.47,ZA,2022-07-12 19:47:31
12,Jinchang,38.4953,102.1739,74.71,45,72,3.94,CN,2022-07-12 19:47:31
13,Roald,62.5833,6.1333,61.9,82,75,16.11,NO,2022-07-12 19:47:31
14,Tiksi,71.6872,128.8694,35.44,97,100,10.29,RU,2022-07-12 19:47:32
15,Capitan Bado,-23.2667,-55.5333,65.82,42,52,7.38,PY,2022-07-12 19:47:32
16,Cuauhtemoc,28.4167,-106.8667,82.78,24,70,13.33,MX,2022-07-12 19:46:52
17,Hobart,-42.8794,147.3294,44.46,83,75,6.91,AU,2022-07-12 19:47:32
18,Severo-Yeniseyskiy,60.3725,93.0408,47.05,92,100,2.3,RU,2022-07-12 19:47:33
19,Yellowknife,62.456,-114.3525,73.92,56,75,12.66,CA,2022-07-12 19:47:33
20,Saskylakh,71.9167,114.0833,39.58,82,100,9.91,RU,2022-07-12 19:47:33
21,Chuy,-33.6971,-53.4616,48.11,69,62,6.33,UY,2022-07-12 19:47:34
22,Atar,20.5169,-13.0499,103.89,14,96,10.38,MR,2022-07-12 19:47:34
23,George Town,5.4112,100.3354,76.95,93,40,3.44,MY,2022-07-12 19:44:29
24,Mvuma,-19.2792,30.5283,54.25,50,13,8.01,ZW,2022-07-12 19:47:34
25,Zdzieszowice,50.4248,18.1235,67.32,54,79,9.75,PL,2022-07-12 19:47:35
26,Watertown,42.3709,-71.1828,92.32,52,40,21.85,US,2022-07-12 19:47:35
27,Kavaratti,10.5669,72.642,81.45,82,100,19.26,IN,2022-07-12 19:47:35
28,Yangjiang,21.85,111.9667,79.88,89,16,3.96,CN,2022-07-12 19:47:36
29,Codrington,-38.2667,141.9667,47.62,78,16,9.22,AU,2022-07-12 19:47:36
30,Pangody,65.85,74.4859,46.27,70,2,8.1,RU,2022-07-12 19:47:36
31,Mataura,-46.1927,168.8643,43.48,98,100,5.17,NZ,2022-07-12 19:47:37
32,Mandalgovi,45.7625,106.2708,54.72,71,0,9.06,MN,2022-07-12 19:47:37
33,Erenhot,43.6475,111.9767,69.19,38,0,15.66,CN,2022-07-12 19:47:37
34,Turinsk,58.0458,63.696,61.86,69,7,4.92,RU,2022-07-12 19:47:38
35,Pisco,-13.7,-76.2167,64.45,77,40,8.05,PE,2022-07-12 19:44:55
36,Nova Olimpia,-14.7972,-57.2881,90.16,33,33,9.89,BR,2022-07-12 19:47:38
37,Bethel,41.3712,-73.414,90.36,62,20,14.97,US,2022-07-12 19:47:38
38,Guerrero Negro,27.9769,-114.0611,72.75,65,86,14.74,MX,2022-07-12 19:47:38
39,Ribeira Grande,38.5167,-28.7,77.4,65,40,9.22,PT,2022-07-12 19:47:39
40,Leningradskiy,69.3833,178.4167,43.7,95,100,4.09,RU,2022-07-12 19:47:39
41,Durango,24.8333,-104.8333,82.65,26,96,10.89,MX,2022-07-12 19:46:21
42,Ulladulla,-35.35,150.4667,47.08,81,100,6.91,AU,2022-07-12 19:47:39
43,Norman Wells,65.282,-126.8329,69.84,68,75,4.61,CA,2022-07-12 19:47:40
44,Ambilobe,-13.2,49.05,69.17,76,4,3.85,MG,2022-07-12 19:47:40
45,Avarua,-21.2078,-159.775,75.25,64,40,6.91,CK,2022-07-12 19:47:40
46,Barrow,71.2906,-156.7887,37.42,87,100,10.36,US,2022-07-12 19:43:39
47,Bulgan,48.8125,103.5347,51.8,78,1,1.97,MN,2022-07-12 19:47:41
48,Antofagasta,-23.65,-70.4,60.08,69,8,4.94,CL,2022-07-12 19:46:03
49,Lagoa,39.05,-27.9833,70.14,91,10,11.92,PT,2022-07-12 19:48:41
50,Mednogorsk,51.4128,57.595,69.31,73,38,8.59,RU,2022-07-12 19:48:41
51,Homer,59.6425,-151.5483,64.29,67,100,1.99,US,2022-07-12 19:46:09
52,Georgetown,5.4112,100.3354,76.95,94,40,3.44,MY,2022-07-12 19:48:42
